Company_Name
Ardagh Group
Bausch Health
BENTELER International AG
BIC
Bluescope
Brembo
British American Tobacco
"C Site Trading Co., Ltd."
Caltex Australia Petroleum
Canadian Tire Corporation
Cisco
CITGO Petroleum Corporation
Citizens Bank
Climax Molybdenum
Constellium
Decathlon
Digital Realty
dsm-firmenich
Fedrigoni
Ferrero
Givaudan
Godfrey Hirst
Grange Resources
Heineken
IBM
Inditex
Intersnack
interxion
The J.M. Smucker Company
JD Sports Fashion Plc
Johnson Matthey
Lockheed Martin
Logoplaste
LyondellBasell
Meijer
Metcash
Mettler-Toledo International Inc
Michelin
Mondelez International
Myer
Natra
NBN Co
"NIKE, Inc."
Novelis
Novo Nordisk
Oerlikon
Pernod Ricard
Philip Morris International
"PPG Industries, Inc."
Quad / Graphics
Roca Group
Royal Philips
Sanofi
Sealed Air
Severn Trent
Shaw Industries Inc.
Shinwon Corporation
Sloan
Smith & Nephew
Sonepar USA
SUEZ
Suncorp
Super Retail Group
Swire
Takeda
Tata Communications
The Mosaic Company
The RealReal
TMG Automotive
Toyota Motor Europe
TPG Telecom
Unilever
UNITED CAPS
Verizon
Victoria University
Voestalpine
Volvo
Volvo Cars
Wesfarmers
WestRock
Winoa
ZF Group
Zscaler
AGC Automotive
Credit Suisse
Dentsu International
Glencore
Hikma Pharmaceuticals
I-MED Radiology Network Limited
JB Hi-Fi Group
Makalot
NTT Global Data Centers
Panasonic
Sensient Technologies
Stada Arzneimittel AG
Trinseo
Univar Solutions
YARA International
Borealis Polymers N.V.
Acument Global Technologies
Chamberlain Group
Johnson Electric
Moderna
Levi Strauss & Co.
IAG
Bridgestone
George Weston Foods Limited (GWF)
Volkswagen
Donaldson Company Inc
TricorBraun
Circuit foil Luxembourg
Delpharm
CKH IOD UK Limited
Glanbia PLC
Silgan Plastics
Wesco
"B&D Group, LLC"
Maersk
Lineage Logistics
Eurofins Scientific
Messer SE & Co. KGaA
Mars
RPM International Inc.
Koch Industries
Ahold Delhaize
Nomad Foods
Colliers International
IAC Group
Boortmalt
"Steel Dynamics, Inc."
"Kalsec, Inc."
Carib Glassworks Limited
RETAL Industries Limited
Magyar Telekom
Avangard Malz
Vetropack
United Can
STAMAG Stadlauer Malzfabrik GesmbH
Alcoa
FRIGOGLASS
Brigl & Bergmeister
Hopsteiner
PQ Corporation
ED&F MAN Holdings BV
DACSA GROUP
Panther Group
Motherson Group
ITP Aero
Reliance Worldwide Corporation
ALRO SA
AFV Beltrame Group
CIECH Group
Q8
ROCKWOOL
Arcade Beauty
Keter
Wieland
Graincorp
Leerdam Crisal Glass
Itaú Unibanco
Lactalis Australia
La Lorraine Bakery Group
Circle K
BMP Metals
Batchfire Resources
Hunter Water
Zoos Victoria
Purmo Group
Docklands Studios Melbourne
CHEP
Huhtamaki
FIS - Fabbrica Italiana Sintetici
Philadelphia Energy Authority
ofi
Jaguar Land Rover
Americold
CELLNEX TELECOM
United States Gypsum Company
NHS London Procurement Partnership
RDM Industrial Products
FLSmidth
ICON Clinical Research
Pfizer
Republic National Distributing Company
Arclin
Newell Brands
Swiss Steel Group
Astec Industries
Marvell Technology
Wheaton College
Atlas Copco
Agnico Eagle
Sumitomo Corporation of Americas
INEOS Inovyn
Allegis Group
Oak Ridge National Laboratory
ADP
Beaulieu International Group
Greif
GERFLOR
Specialty Granules LLC
Abercrombie & Fitch
Tikehau Capital
GELITA AG
Radisson Hotel Group
Groupe PGS
Albemarle
Lexmark
BWI Group
Safran
EdgeCore Digital Infrastructure
Cooper Standard
Health Care Service Corporation
IQHQ
Edgewell
Tosoh Corporation
Corning Incorporated
Amazon Web Services
Hexatronic
TK Elevator
CBRE
Peet's Coffee Inc.
Deceuninck
Bath & Body Works
Johnson Outdoors
Coveris Group
Wessex Water
NS
HERO AG
PAI Partners
Alstom Transport
PACCAR
Sandoz
"Staples, Inc."
Hitachi
AGCO
Northvolt
Sprouts Farmers Market
Schaeffler
Coca-Cola Consolidated
Noise Media Group
Morrisons Supermarkets
HP
The Kroger Co
Elanco Animal Health
First Quality
Vantage Specialty Chemicals
Schwarz Beschaffung GmbH
Knauf
Macro Wiring Technologies Co Inc
Texas Roadhouse Holdings
pladis Global
Element Electronics
DELTA NEO
AbbVie
Signet Jewelers
Cemex
Assa Abloy
Bell Flight
Croda
Viyash Life Sciences
JS McCarthy Printers
Burlington Stores
AAB-Tech Srl
Procaps Group
Accupac
Mercalis
Technimark
Kellanova
Nth Cycle
Viva Healthcare Packaging
Villeroy & Bosch
Sealedair Corporation
Omni Hotels and Resorts
Bloomin' Brands
Optinova
Walther Farms LLC
Aenova
G&J Pepsi-Cola Bottler Inc.
LifeLine Foods
M+C Schiffer
Multi-Color Corporation
ARYZTA
"Del Monte Foods, Inc"
SCHOTT AG
MCC Label
Bunker Holding
Start Campus
Hines
Ritz Instrument Transformers GmbH
Haleon PLC
Grundfos
Vandemoortele
Mallinckrodt Pharmaceuticals
BP
The Weir Group
ICON Plc
SHL Medical
AstraZeneca
Petsmart
Marubeni Power International Inc.
Oracle
Georgia-Pacific
JSR Life Sciences
Hunter Industries
TI Fluid Systems
Tenaris
Eurowag
Tata Steel
Corden Pharma
NXP
Minerals Technologies
Acoustics India Private Limited
Fortrea
Savola
SSOE Group
MSS India Private Limited
Siegfried AG
Parexel
Konings NV
Noble Corp
Sigmaplast
Virtusa
Burns & McDonnell
Westlake
